subject,teacher_id,room_id,day,slot,confidence
math,T080,B-CR-007,Sun,1,0.5
science,T066,B-LAB-03,Sun,1,0.5
arabic,T085,B-CR-008,Sun,1,0.5
math,T374,B-CR-070,Sun,1,0.5
math,T080,B-CR-006,Sun,2,0.5
science,T066,B-LAB-04,Sun,2,0.5
english,T099,B-CR-007,Sun,2,0.5
math,T080,B-CR-001,Sun,3,0.5
pe,T017,B-PG-04,Sun,3,0.5
math,T103,B-CR-047,Sun,3,0.5
islamic,T088,B-CR-011,Sun,5,0.5
history,T113,B-CR-012,Sun,5,0.5
geography,T115,B-CR-013,Sun,5,0.5
library,T003,B-LIB-01,Sun,5,0.5
social,T082,B-CR-014,Sun,5,0.5
islamic,T416,B-CR-037,Sun,6,0.5
english,T099,B-CR-002,Sun,7,0.5
english,T308,B-CR-048,Sun,7,0.5
math,T103,B-CR-030,Sun,8,0.5
math,T080,B-CR-006,Mon,1,0.5
science,T066,B-LAB-04,Mon,1,0.5
arabic,T085,B-CR-007,Mon,1,0.5
math,T374,B-CR-070,Mon,1,0.5
arabic,T422,B-CR-071,Mon,1,0.5
math,T080,B-CR-009,Mon,2,0.5
science,T066,B-LAB-04,Mon,2,0.5
english,T099,B-CR-010,Mon,2,0.5
math,T374,B-CR-072,Mon,2,0.5
math,T374,B-CR-008,Mon,3,0.5
math,T103,B-CR-037,Mon,3,0.5
computer,T021,B-CR-001,Mon,4,0.5
history,T113,B-CR-010,Mon,5,0.5
geography,T115,B-CR-011,Mon,5,0.5
art,T019,B-CR-004,Mon,6,0.5
music,T033,B-CR-005,Mon,6,0.5
islamic,T416,B-CR-025,Mon,6,0.5
english,T099,B-CR-004,Mon,7,0.5
english,T308,B-CR-052,Mon,7,0.5
english,T096,B-CR-053,Mon,7,0.5
math,T103,B-CR-029,Mon,8,0.5
math,T080,B-CR-007,Tue,1,0.5
science,T066,B-LAB-03,Tue,1,0.5
arabic,T085,B-CR-008,Tue,1,0.5
math,T374,B-CR-068,Tue,1,0.5
arabic,T422,B-CR-069,Tue,1,0.5
english,T099,B-CR-006,Tue,2,0.5
math,T374,B-CR-075,Tue,2,0.5
math,T103,B-CR-034,Tue,3,0.5
islamic,T088,B-CR-005,Tue,5,0.5
english,T099,B-CR-004,Tue,7,0.5
english,T308,B-CR-041,Tue,7,0.5
english,T096,B-CR-042,Tue,7,0.5
art,T019,B-CR-043,Tue,7,0.5
art,T023,B-CR-060,Tue,7,0.5
math,T103,B-CR-028,Tue,8,0.5
math,T080,B-CR-006,Wed,1,0.5
science,T066,B-LAB-03,Wed,1,0.5
arabic,T085,B-CR-007,Wed,1,0.5
math,T374,B-CR-067,Wed,1,0.5
arabic,T422,B-CR-068,Wed,1,0.5
math,T080,B-CR-005,Wed,2,0.5
english,T099,B-CR-006,Wed,2,0.5
computer,T027,B-CR-009,Wed,4,0.5
islamic,T088,B-CR-004,Wed,5,0.5
islamic,T416,B-CR-070,Wed,5,0.5
history,T409,B-CR-071,Wed,5,0.5
geography,T419,B-CR-072,Wed,5,0.5
computer,T021,B-CR-073,Wed,5,0.5
social,T293,B-CR-074,Wed,5,0.5
french,T007,B-CR-001,Wed,6,0.5
chinese,T031,B-CR-002,Wed,6,0.5
english,T099,B-CR-003,Wed,7,0.5
english,T308,B-CR-037,Wed,7,0.5
english,T096,B-CR-038,Wed,7,0.5
english,T161,B-CR-039,Wed,7,0.5
music,T033,B-CR-040,Wed,7,0.5
math,T103,B-CR-019,Wed,8,0.5
science,T066,B-LAB-04,Thu,1,0.5
math,T374,B-CR-048,Thu,1,0.5
arabic,T422,B-CR-049,Thu,1,0.5
math,T080,B-CR-006,Thu,2,0.5
english,T099,B-CR-007,Thu,2,0.5
math,T374,B-CR-059,Thu,2,0.5
math,T103,B-CR-029,Thu,3,0.5
pe,T015,B-PG-04,Thu,4,0.5
islamic,T088,B-CR-002,Thu,5,0.5
islamic,T416,B-CR-041,Thu,5,0.5
history,T409,B-CR-042,Thu,5,0.5
geography,T419,B-CR-043,Thu,5,0.5
english,T308,B-CR-028,Thu,7,0.5
french,T007,B-CR-029,Thu,7,0.5
math,T103,B-CR-022,Thu,8,0.5
