subject,teacher_id,room_id,day,slot,confidence
arabic,T078,A-CR-081,Sun,3,0.5
islamic,T091,A-CR-082,Sun,3,0.5
social,T122,A-CR-084,Sun,4,0.5
islamic,T364,A-CR-064,Sun,7,0.5
social,T090,A-CR-086,Sun,7,0.5
arabic,T078,A-CR-090,Mon,2,0.5
arabic,T078,A-CR-067,Mon,3,0.5
islamic,T091,A-CR-068,Mon,3,0.5
islamic,T364,A-CR-070,Mon,7,0.5
arabic,T078,A-CR-089,Tue,2,0.5
islamic,T091,A-CR-090,Tue,2,0.5
islamic,T091,A-CR-061,Tue,3,0.5
islamic,T364,A-CR-060,Tue,7,0.5
islamic,T091,A-CR-053,Wed,3,0.5
islamic,T364,A-CR-062,Wed,7,0.5
arabic,T078,A-CR-076,Thu,2,0.5
islamic,T091,A-CR-077,Thu,2,0.5
social,T210,A-CR-078,Thu,2,0.5
islamic,T364,A-CR-037,Thu,4,0.5
islamic,T364,A-CR-068,Thu,7,0.5
