subject,teacher_id,room_id,day,slot,confidence
math,T236,B-CR-034,Sun,1,0.5
arabic,T273,B-CR-035,Sun,1,0.5
math,T236,B-CR-031,Sun,2,0.5
english,T301,B-CR-032,Sun,2,0.5
math,T468,B-CR-024,Sun,3,0.5
math,T358,B-CR-061,Sun,3,0.5
pe,T015,B-PG-02,Sun,4,0.5
islamic,T282,B-CR-062,Sun,5,0.5
history,T214,B-CR-063,Sun,5,0.5
geography,T217,B-CR-064,Sun,5,0.5
islamic,T282,B-CR-021,Sun,6,0.5
english,T301,B-CR-015,Sun,7,0.5
art,T029,B-CR-016,Sun,7,0.5
french,T011,B-CR-009,Sun,8,0.5
math,T236,B-CR-031,Mon,1,0.5
arabic,T273,B-CR-032,Mon,1,0.5
math,T236,B-CR-036,Mon,2,0.5
english,T308,B-CR-037,Mon,2,0.5
math,T468,B-CR-015,Mon,3,0.5
math,T358,B-CR-053,Mon,3,0.5
history,T214,B-CR-046,Mon,5,0.5
geography,T217,B-CR-047,Mon,5,0.5
social,T238,B-CR-048,Mon,5,0.5
math,T468,B-CR-069,Mon,6,0.5
arabic,T075,B-CR-070,Mon,6,0.5
islamic,T084,B-CR-071,Mon,6,0.5
history,T104,B-CR-072,Mon,6,0.5
geography,T113,B-CR-073,Mon,6,0.5
social,T370,B-CR-074,Mon,6,0.5
english,T301,B-CR-017,Mon,7,0.5
math,T358,B-CR-043,Mon,8,0.5
math,T236,B-CR-030,Tue,1,0.5
arabic,T273,B-CR-031,Tue,1,0.5
math,T236,B-CR-032,Tue,2,0.5
english,T301,B-CR-033,Tue,2,0.5
math,T468,B-CR-012,Tue,3,0.5
math,T358,B-CR-050,Tue,3,0.5
library,T001,B-LIB-01,Tue,4,0.5
islamic,T282,B-CR-024,Tue,5,0.5
math,T468,B-CR-046,Tue,6,0.5
arabic,T056,B-CR-047,Tue,6,0.5
islamic,T084,B-CR-048,Tue,6,0.5
history,T104,B-CR-049,Tue,6,0.5
geography,T113,B-CR-050,Tue,6,0.5
computer,T025,B-CR-051,Tue,6,0.5
art,T029,B-CR-004,Tue,8,0.5
math,T358,B-CR-042,Tue,8,0.5
arabic,T273,B-CR-031,Wed,1,0.5
math,T236,B-CR-032,Wed,2,0.5
english,T301,B-CR-033,Wed,2,0.5
math,T468,B-CR-011,Wed,3,0.5
math,T358,B-CR-042,Wed,3,0.5
music,T037,B-CR-010,Wed,6,0.5
math,T468,B-CR-027,Wed,6,0.5
arabic,T056,B-CR-028,Wed,6,0.5
islamic,T084,B-CR-029,Wed,6,0.5
english,T301,B-CR-016,Wed,7,0.5
math,T358,B-CR-035,Wed,8,0.5
math,T236,B-CR-022,Thu,1,0.5
math,T236,B-CR-027,Thu,2,0.5
english,T301,B-CR-028,Thu,2,0.5
math,T468,B-CR-074,Thu,2,0.5
math,T468,B-CR-010,Thu,3,0.5
math,T358,B-CR-038,Thu,3,0.5
computer,T025,B-CR-002,Thu,4,0.5
chinese,T031,B-CR-003,Thu,4,0.5
islamic,T282,B-CR-011,Thu,5,0.5
french,T011,B-CR-006,Thu,6,0.5
arabic,T056,B-CR-022,Thu,6,0.5
islamic,T084,B-CR-023,Thu,6,0.5
english,T301,B-CR-008,Thu,7,0.5
music,T037,B-CR-053,Thu,7,0.5
math,T358,B-CR-032,Thu,8,0.5
art,T029,B-CR-033,Thu,8,0.5
