subject,teacher_id,room_id,day,slot,confidence
arabic,T318,B-CR-056,Sun,1,0.5
math,T205,B-CR-060,Sun,2,0.5
english,T270,B-CR-061,Sun,2,0.5
math,T329,B-CR-038,Sun,3,0.5
math,T347,B-CR-039,Sun,3,0.5
math,T134,B-CR-067,Sun,3,0.5
english,T270,B-CR-033,Sun,7,0.5
art,T020,B-CR-034,Sun,7,0.5
music,T034,B-CR-035,Sun,7,0.5
math,T329,B-CR-021,Sun,8,0.5
math,T134,B-CR-058,Sun,8,0.5
math,T140,B-CR-059,Sun,8,0.5
math,T205,B-CR-056,Mon,1,0.5
arabic,T318,B-CR-057,Mon,1,0.5
math,T205,B-CR-058,Mon,2,0.5
english,T270,B-CR-059,Mon,2,0.5
math,T329,B-CR-027,Mon,3,0.5
math,T347,B-CR-028,Mon,3,0.5
math,T134,B-CR-063,Mon,3,0.5
islamic,T319,B-CR-020,Mon,6,0.5
english,T270,B-CR-034,Mon,7,0.5
math,T140,B-CR-057,Mon,8,0.5
math,T205,B-CR-053,Tue,1,0.5
arabic,T318,B-CR-054,Tue,1,0.5
math,T205,B-CR-056,Tue,2,0.5
english,T270,B-CR-057,Tue,2,0.5
pe,T014,B-PG-03,Tue,4,0.5
computer,T030,B-CR-009,Tue,4,0.5
islamic,T319,B-CR-055,Tue,5,0.5
history,T188,B-CR-056,Tue,5,0.5
geography,T176,B-CR-057,Tue,5,0.5
computer,T024,B-CR-058,Tue,5,0.5
social,T225,B-CR-059,Tue,5,0.5
math,T329,B-CR-015,Tue,8,0.5
art,T020,B-CR-016,Tue,8,0.5
math,T134,B-CR-058,Tue,8,0.5
math,T205,B-CR-052,Wed,1,0.5
arabic,T318,B-CR-053,Wed,1,0.5
math,T205,B-CR-057,Wed,2,0.5
english,T270,B-CR-058,Wed,2,0.5
math,T134,B-CR-055,Wed,3,0.5
chinese,T032,B-CR-007,Wed,4,0.5
islamic,T319,B-CR-038,Wed,5,0.5
history,T188,B-CR-039,Wed,5,0.5
geography,T176,B-CR-040,Wed,5,0.5
english,T270,B-CR-025,Wed,7,0.5
math,T329,B-CR-007,Wed,8,0.5
math,T205,B-CR-037,Thu,1,0.5
math,T205,B-CR-043,Thu,2,0.5
english,T270,B-CR-044,Thu,2,0.5
math,T329,B-CR-023,Thu,3,0.5
math,T134,B-CR-048,Thu,3,0.5
islamic,T319,B-CR-023,Thu,5,0.5
french,T008,B-CR-015,Thu,6,0.5
english,T270,B-CR-019,Thu,7,0.5
art,T024,B-CR-066,Thu,7,0.5
math,T329,B-CR-006,Thu,8,0.5
french,T010,B-CR-007,Thu,8,0.5
music,T034,B-CR-008,Thu,8,0.5
math,T134,B-CR-048,Thu,8,0.5
