subject,teacher_id,room_id,day,slot,confidence
islamic,T185,A-CR-020,Sun,4,0.5
islamic,T185,A-CR-006,Sun,8,0.5
islamic,T185,A-CR-016,Mon,4,0.5
islamic,T069,A-CR-085,Mon,4,0.5
islamic,T086,A-CR-086,Mon,4,0.5
social,T268,A-CR-087,Mon,4,0.5
islamic,T185,A-CR-007,Mon,8,0.5
islamic,T185,A-CR-015,Tue,4,0.5
islamic,T069,A-CR-073,Tue,4,0.5
islamic,T086,A-CR-074,Tue,4,0.5
social,T210,A-CR-067,Tue,7,0.5
islamic,T069,A-CR-058,Wed,4,0.5
arabic,T313,A-CR-081,Thu,3,0.5
arabic,T362,A-CR-082,Thu,3,0.5
arabic,T457,A-CR-083,Thu,3,0.5
arabic,T063,A-CR-084,Thu,3,0.5
arabic,T182,A-CR-085,Thu,3,0.5
social,T332,A-CR-086,Thu,3,0.5
islamic,T185,A-CR-004,Thu,4,0.5
islamic,T069,A-CR-055,Thu,4,0.5
