subject,teacher_id,room_id,day,slot,confidence
arabic,T310,A-CR-048,Sun,2,0.5
islamic,T432,A-CR-049,Sun,2,0.5
arabic,T310,A-CR-024,Sun,3,0.5
english,T110,A-CR-025,Sun,3,0.5
english,T148,A-CR-026,Sun,3,0.5
islamic,T432,A-CR-027,Sun,3,0.5
islamic,T432,A-CR-036,Sun,4,0.5
social,T051,A-CR-037,Sun,4,0.5
islamic,T416,A-CR-070,Sun,7,0.5
islamic,T432,A-CR-013,Sun,8,0.5
social,T133,A-CR-080,Mon,1,0.5
arabic,T310,A-CR-047,Mon,2,0.5
english,T110,A-CR-020,Mon,3,0.5
english,T148,A-CR-021,Mon,3,0.5
english,T168,A-CR-022,Mon,3,0.5
islamic,T432,A-CR-023,Mon,3,0.5
islamic,T432,A-CR-024,Mon,4,0.5
arabic,T291,A-CR-054,Mon,7,0.5
islamic,T416,A-CR-073,Mon,7,0.5
arabic,T310,A-CR-044,Tue,2,0.5
english,T110,A-CR-019,Tue,3,0.5
english,T168,A-CR-020,Tue,3,0.5
islamic,T432,A-CR-021,Tue,3,0.5
islamic,T432,A-CR-023,Tue,4,0.5
arabic,T336,A-CR-039,Tue,7,0.5
arabic,T310,A-CR-052,Wed,2,0.5
islamic,T432,A-CR-053,Wed,2,0.5
english,T148,A-CR-017,Wed,3,0.5
islamic,T432,A-CR-017,Wed,4,0.5
islamic,T387,A-CR-073,Wed,4,0.5
islamic,T400,A-CR-074,Wed,4,0.5
social,T449,A-CR-075,Wed,4,0.5
arabic,T336,A-CR-036,Wed,7,0.5
arabic,T470,A-CR-037,Wed,7,0.5
islamic,T432,A-CR-039,Thu,2,0.5
english,T148,A-CR-014,Thu,3,0.5
islamic,T432,A-CR-011,Thu,4,0.5
islamic,T387,A-CR-070,Thu,4,0.5
islamic,T400,A-CR-071,Thu,4,0.5
arabic,T291,A-CR-038,Thu,7,0.5
