subject,teacher_id,room_id,day,slot,confidence
math,T392,A-CR-027,Sun,1,0.5
arabic,T375,A-CR-059,Sun,1,0.5
math,T392,A-CR-014,Sun,2,0.5
math,T252,A-CR-029,Sun,2,0.5
islamic,T435,A-CR-054,Sun,5,0.5
geography,T079,A-CR-020,Sun,6,0.5
social,T275,A-CR-080,Sun,6,0.5
history,T219,A-CR-081,Sun,6,0.5
geography,T220,A-CR-082,Sun,6,0.5
arabic,T420,A-CR-003,Sun,7,0.5
arabic,T185,A-CR-034,Sun,7,0.5
arabic,T288,A-CR-035,Sun,7,0.5
math,T392,A-CR-025,Mon,1,0.5
arabic,T420,A-CR-026,Mon,1,0.5
arabic,T375,A-CR-057,Mon,1,0.5
math,T392,A-CR-017,Mon,2,0.5
islamic,T435,A-CR-043,Mon,5,0.5
social,T092,A-CR-044,Mon,5,0.5
arabic,T420,A-CR-013,Mon,6,0.5
math,T251,A-CR-058,Mon,6,0.5
arabic,T185,A-CR-025,Mon,7,0.5
math,T251,A-CR-003,Mon,8,0.5
math,T392,A-CR-026,Tue,1,0.5
arabic,T375,A-CR-053,Tue,1,0.5
math,T252,A-CR-026,Tue,2,0.5
pe,T016,A-PG-03,Tue,3,0.5
islamic,T435,A-CR-026,Tue,5,0.5
history,T070,A-CR-027,Tue,5,0.5
arabic,T420,A-CR-011,Tue,6,0.5
math,T251,A-CR-050,Tue,6,0.5
math,T251,A-CR-002,Tue,8,0.5
math,T392,A-CR-027,Wed,1,0.5
arabic,T375,A-CR-056,Wed,1,0.5
math,T392,A-CR-020,Wed,2,0.5
math,T252,A-CR-036,Wed,2,0.5
islamic,T435,A-CR-028,Wed,5,0.5
geography,T079,A-CR-029,Wed,5,0.5
islamic,T340,A-CR-085,Wed,5,0.5
math,T251,A-CR-046,Wed,6,0.5
arabic,T185,A-CR-008,Wed,7,0.5
math,T392,A-CR-022,Thu,1,0.5
arabic,T375,A-CR-045,Thu,1,0.5
math,T392,A-CR-008,Thu,2,0.5
history,T070,A-CR-017,Thu,5,0.5
islamic,T185,A-CR-060,Thu,5,0.5
islamic,T288,A-CR-061,Thu,5,0.5
islamic,T340,A-CR-062,Thu,5,0.5
history,T219,A-CR-063,Thu,5,0.5
geography,T220,A-CR-064,Thu,5,0.5
arabic,T420,A-CR-006,Thu,6,0.5
math,T251,A-CR-034,Thu,6,0.5
arabic,T185,A-CR-008,Thu,7,0.5
