subject,teacher_id,room_id,day,slot,confidence
math,T137,B-CR-026,Sun,1,0.5
arabic,T189,B-CR-027,Sun,1,0.5
math,T137,B-CR-024,Sun,2,0.5
math,T428,B-CR-020,Sun,3,0.5
math,T261,B-CR-057,Sun,3,0.5
chinese,T031,B-CR-006,Sun,4,0.5
islamic,T198,B-CR-047,Sun,5,0.5
history,T170,B-CR-048,Sun,5,0.5
geography,T174,B-CR-049,Sun,5,0.5
social,T207,B-CR-050,Sun,5,0.5
math,T428,B-CR-071,Sun,6,0.5
arabic,T470,B-CR-072,Sun,6,0.5
islamic,T483,B-CR-073,Sun,6,0.5
history,T493,B-CR-074,Sun,6,0.5
geography,T497,B-CR-075,Sun,6,0.5
computer,T023,B-CR-076,Sun,6,0.5
social,T324,B-CR-077,Sun,6,0.5
art,T027,B-CR-004,Sun,8,0.5
math,T261,B-CR-038,Sun,8,0.5
math,T137,B-CR-025,Mon,1,0.5
arabic,T189,B-CR-026,Mon,1,0.5
math,T137,B-CR-027,Mon,2,0.5
english,T150,B-CR-028,Mon,2,0.5
math,T428,B-CR-012,Mon,3,0.5
math,T261,B-CR-050,Mon,3,0.5
islamic,T198,B-CR-035,Mon,5,0.5
history,T170,B-CR-036,Mon,5,0.5
geography,T174,B-CR-037,Mon,5,0.5
math,T428,B-CR-046,Mon,6,0.5
arabic,T470,B-CR-047,Mon,6,0.5
islamic,T483,B-CR-048,Mon,6,0.5
english,T150,B-CR-013,Mon,7,0.5
math,T261,B-CR-039,Mon,8,0.5
math,T137,B-CR-023,Tue,1,0.5
arabic,T189,B-CR-024,Tue,1,0.5
math,T137,B-CR-024,Tue,2,0.5
english,T150,B-CR-025,Tue,2,0.5
math,T428,B-CR-008,Tue,3,0.5
math,T261,B-CR-045,Tue,3,0.5
islamic,T198,B-CR-019,Tue,5,0.5
science,T154,B-LAB-04,Tue,6,0.5
french,T009,B-CR-008,Tue,6,0.5
music,T035,B-CR-009,Tue,6,0.5
math,T428,B-CR-029,Tue,6,0.5
arabic,T470,B-CR-030,Tue,6,0.5
islamic,T483,B-CR-031,Tue,6,0.5
science,T194,B-LAB-03,Tue,8,0.5
math,T261,B-CR-038,Tue,8,0.5
math,T137,B-CR-023,Wed,1,0.5
arabic,T189,B-CR-024,Wed,1,0.5
math,T137,B-CR-025,Wed,2,0.5
english,T150,B-CR-026,Wed,2,0.5
english,T161,B-CR-027,Wed,2,0.5
library,T005,B-LIB-01,Wed,2,0.5
math,T428,B-CR-007,Wed,3,0.5
math,T261,B-CR-038,Wed,3,0.5
computer,T023,B-CR-001,Wed,4,0.5
islamic,T198,B-CR-013,Wed,5,0.5
art,T027,B-CR-005,Wed,6,0.5
english,T150,B-CR-013,Wed,7,0.5
french,T009,B-CR-057,Wed,7,0.5
science,T154,B-LAB-03,Wed,8,0.5
science,T155,B-LAB-04,Wed,8,0.5
math,T261,B-CR-029,Wed,8,0.5
math,T137,B-CR-018,Thu,1,0.5
math,T428,B-CR-062,Thu,1,0.5
arabic,T470,B-CR-063,Thu,1,0.5
english,T150,B-CR-019,Thu,2,0.5
english,T161,B-CR-020,Thu,2,0.5
pe,T013,B-PG-01,Thu,3,0.5
math,T428,B-CR-007,Thu,3,0.5
islamic,T483,B-CR-077,Thu,5,0.5
history,T493,B-CR-078,Thu,5,0.5
geography,T497,B-CR-079,Thu,5,0.5
science,T154,B-LAB-04,Thu,6,0.5
english,T150,B-CR-006,Thu,7,0.5
music,T035,B-CR-051,Thu,7,0.5
art,T023,B-CR-063,Thu,7,0.5
science,T154,B-LAB-02,Thu,8,0.5
science,T155,B-LAB-03,Thu,8,0.5
math,T261,B-CR-030,Thu,8,0.5
