subject,teacher_id,room_id,day,slot,confidence
math,T107,B-CR-017,Sun,1,0.5
arabic,T065,B-CR-018,Sun,1,0.5
arabic,T406,B-CR-078,Sun,1,0.5
math,T107,B-CR-016,Sun,2,0.5
english,T068,B-CR-017,Sun,2,0.5
math,T107,B-CR-003,Sun,3,0.5
science,T089,B-LAB-04,Sun,3,0.5
math,T252,B-CR-015,Sun,3,0.5
math,T444,B-CR-052,Sun,3,0.5
islamic,T069,B-CR-029,Sun,5,0.5
history,T097,B-CR-030,Sun,5,0.5
geography,T100,B-CR-031,Sun,5,0.5
social,T092,B-CR-032,Sun,5,0.5
science,T089,B-LAB-02,Sun,6,0.5
art,T030,B-CR-018,Sun,6,0.5
music,T038,B-CR-019,Sun,6,0.5
islamic,T410,B-CR-050,Sun,6,0.5
history,T284,B-CR-051,Sun,6,0.5
geography,T296,B-CR-052,Sun,6,0.5
english,T068,B-CR-007,Sun,7,0.5
english,T145,B-CR-051,Sun,7,0.5
english,T181,B-CR-052,Sun,7,0.5
math,T444,B-CR-034,Sun,8,0.5
math,T107,B-CR-016,Mon,1,0.5
arabic,T065,B-CR-017,Mon,1,0.5
math,T252,B-CR-078,Mon,1,0.5
arabic,T406,B-CR-079,Mon,1,0.5
english,T068,B-CR-019,Mon,2,0.5
english,T181,B-CR-080,Mon,2,0.5
science,T089,B-LAB-04,Mon,3,0.5
math,T252,B-CR-009,Mon,3,0.5
math,T444,B-CR-043,Mon,3,0.5
computer,T028,B-CR-002,Mon,4,0.5
islamic,T069,B-CR-020,Mon,5,0.5
history,T097,B-CR-021,Mon,5,0.5
geography,T100,B-CR-022,Mon,5,0.5
islamic,T410,B-CR-031,Mon,6,0.5
english,T145,B-CR-056,Mon,7,0.5
english,T181,B-CR-057,Mon,7,0.5
art,T026,B-CR-064,Mon,7,0.5
french,T012,B-CR-001,Mon,8,0.5
math,T444,B-CR-034,Mon,8,0.5
math,T252,B-CR-077,Tue,1,0.5
arabic,T406,B-CR-078,Tue,1,0.5
math,T107,B-CR-014,Tue,2,0.5
english,T068,B-CR-015,Tue,2,0.5
science,T089,B-LAB-03,Tue,3,0.5
pe,T018,B-PG-01,Tue,3,0.5
math,T252,B-CR-004,Tue,3,0.5
math,T444,B-CR-040,Tue,3,0.5
islamic,T069,B-CR-012,Tue,5,0.5
french,T012,B-CR-003,Tue,6,0.5
chinese,T032,B-CR-004,Tue,6,0.5
islamic,T410,B-CR-022,Tue,6,0.5
english,T068,B-CR-009,Tue,7,0.5
english,T145,B-CR-051,Tue,7,0.5
english,T181,B-CR-052,Tue,7,0.5
art,T030,B-CR-053,Tue,7,0.5
music,T038,B-CR-054,Tue,7,0.5
math,T444,B-CR-032,Tue,8,0.5
math,T107,B-CR-015,Wed,1,0.5
arabic,T065,B-CR-016,Wed,1,0.5
math,T252,B-CR-076,Wed,1,0.5
arabic,T406,B-CR-077,Wed,1,0.5
math,T107,B-CR-015,Wed,2,0.5
english,T068,B-CR-016,Wed,2,0.5
science,T089,B-LAB-04,Wed,3,0.5
math,T252,B-CR-003,Wed,3,0.5
islamic,T069,B-CR-009,Wed,5,0.5
library,T016,B-LIB-01,Wed,5,0.5
english,T068,B-CR-008,Wed,7,0.5
english,T145,B-CR-046,Wed,7,0.5
math,T444,B-CR-025,Wed,8,0.5
math,T107,B-CR-010,Thu,1,0.5
arabic,T065,B-CR-011,Thu,1,0.5
math,T252,B-CR-055,Thu,1,0.5
math,T107,B-CR-012,Thu,2,0.5
science,T089,B-LAB-04,Thu,2,0.5
english,T068,B-CR-013,Thu,2,0.5
math,T252,B-CR-062,Thu,2,0.5
english,T181,B-CR-063,Thu,2,0.5
science,T089,B-LAB-03,Thu,3,0.5
math,T444,B-CR-034,Thu,3,0.5
islamic,T410,B-CR-059,Thu,5,0.5
history,T284,B-CR-060,Thu,5,0.5
geography,T296,B-CR-061,Thu,5,0.5
computer,T028,B-CR-062,Thu,5,0.5
social,T327,B-CR-063,Thu,5,0.5
english,T068,B-CR-004,Thu,7,0.5
math,T444,B-CR-025,Thu,8,0.5
