subject,teacher_id,room_id,day,slot,confidence
math,T423,A-CR-006,Sun,1,0.5
arabic,T395,A-CR-007,Sun,1,0.5
arabic,T248,A-CR-047,Sun,1,0.5
math,T423,A-CR-002,Sun,2,0.5
islamic,T400,A-CR-010,Sun,5,0.5
geography,T221,A-CR-011,Sun,5,0.5
islamic,T050,A-CR-087,Sun,5,0.5
social,T280,A-CR-088,Sun,5,0.5
science,T041,A-LAB-01,Sun,6,0.5
math,T367,A-CR-045,Sun,6,0.5
arabic,T248,A-CR-046,Sun,6,0.5
arabic,T382,A-CR-021,Sun,7,0.5
science,T041,A-LAB-01,Sun,8,0.5
math,T423,A-CR-004,Mon,1,0.5
arabic,T395,A-CR-005,Mon,1,0.5
arabic,T248,A-CR-045,Mon,1,0.5
math,T423,A-CR-003,Mon,2,0.5
library,T003,A-LIB-01,Mon,5,0.5
computer,T029,A-CR-005,Mon,5,0.5
social,T064,A-CR-006,Mon,5,0.5
islamic,T050,A-CR-086,Mon,5,0.5
science,T041,A-LAB-01,Mon,6,0.5
math,T367,A-CR-032,Mon,6,0.5
math,T374,A-CR-033,Mon,6,0.5
arabic,T382,A-CR-013,Mon,7,0.5
math,T423,A-CR-002,Mon,8,0.5
math,T423,A-CR-004,Tue,1,0.5
arabic,T248,A-CR-044,Tue,1,0.5
math,T423,A-CR-003,Tue,2,0.5
islamic,T400,A-CR-009,Tue,5,0.5
history,T217,A-CR-010,Tue,5,0.5
islamic,T050,A-CR-062,Tue,5,0.5
history,T156,A-CR-063,Tue,5,0.5
geography,T163,A-CR-064,Tue,5,0.5
arabic,T395,A-CR-006,Tue,6,0.5
science,T041,A-LAB-01,Tue,6,0.5
math,T367,A-CR-031,Tue,6,0.5
math,T374,A-CR-032,Tue,6,0.5
arabic,T382,A-CR-087,Tue,6,0.5
social,T454,A-CR-088,Tue,6,0.5
history,T276,A-CR-089,Tue,6,0.5
geography,T281,A-CR-090,Tue,6,0.5
math,T423,A-CR-006,Wed,1,0.5
arabic,T395,A-CR-007,Wed,1,0.5
islamic,T400,A-CR-012,Wed,5,0.5
history,T217,A-CR-013,Wed,5,0.5
geography,T221,A-CR-014,Wed,5,0.5
history,T156,A-CR-054,Wed,5,0.5
science,T041,A-LAB-01,Wed,6,0.5
math,T367,A-CR-027,Wed,6,0.5
math,T374,A-CR-028,Wed,6,0.5
arabic,T382,A-CR-080,Wed,6,0.5
history,T276,A-CR-081,Wed,6,0.5
arabic,T395,A-CR-007,Thu,1,0.5
arabic,T248,A-CR-035,Thu,1,0.5
science,T041,A-LAB-02,Thu,2,0.5
math,T367,A-CR-014,Thu,2,0.5
pe,T017,A-PG-01,Thu,3,0.5
islamic,T400,A-CR-006,Thu,5,0.5
islamic,T046,A-CR-030,Thu,5,0.5
geography,T163,A-CR-031,Thu,5,0.5
math,T423,A-CR-002,Thu,6,0.5
science,T041,A-LAB-01,Thu,6,0.5
math,T367,A-CR-020,Thu,6,0.5
arabic,T382,A-CR-065,Thu,6,0.5
geography,T279,A-CR-066,Thu,6,0.5
