subject,teacher_id,room_id,day,slot,confidence
math,T067,B-CR-003,Sun,1,0.5
science,T045,B-LAB-02,Sun,1,0.5
arabic,T050,B-CR-004,Sun,1,0.5
math,T367,B-CR-067,Sun,1,0.5
arabic,T400,B-CR-068,Sun,1,0.5
math,T067,B-CR-003,Sun,2,0.5
science,T045,B-LAB-02,Sun,2,0.5
english,T076,B-CR-004,Sun,2,0.5
math,T367,B-CR-072,Sun,2,0.5
pe,T013,B-PG-02,Sun,3,0.5
computer,T023,B-CR-002,Sun,4,0.5
islamic,T056,B-CR-004,Sun,5,0.5
history,T061,B-CR-005,Sun,5,0.5
social,T051,B-CR-006,Sun,5,0.5
french,T009,B-CR-005,Sun,6,0.5
art,T027,B-CR-006,Sun,6,0.5
music,T035,B-CR-007,Sun,6,0.5
islamic,T407,B-CR-034,Sun,6,0.5
english,T057,B-CR-044,Sun,7,0.5
english,T161,B-CR-045,Sun,7,0.5
math,T071,B-CR-028,Sun,8,0.5
math,T067,B-CR-003,Mon,1,0.5
science,T045,B-LAB-02,Mon,1,0.5
arabic,T050,B-CR-004,Mon,1,0.5
library,T005,B-LIB-01,Mon,1,0.5
math,T367,B-CR-067,Mon,1,0.5
arabic,T400,B-CR-068,Mon,1,0.5
math,T067,B-CR-004,Mon,2,0.5
science,T045,B-LAB-02,Mon,2,0.5
english,T076,B-CR-005,Mon,2,0.5
math,T367,B-CR-070,Mon,2,0.5
math,T071,B-CR-035,Mon,3,0.5
islamic,T056,B-CR-004,Mon,5,0.5
history,T061,B-CR-005,Mon,5,0.5
geography,T087,B-CR-006,Mon,5,0.5
chinese,T031,B-CR-002,Mon,6,0.5
history,T333,B-CR-023,Mon,6,0.5
english,T076,B-CR-002,Mon,7,0.5
english,T161,B-CR-047,Mon,7,0.5
french,T009,B-CR-048,Mon,7,0.5
music,T035,B-CR-049,Mon,7,0.5
art,T023,B-CR-062,Mon,7,0.5
math,T071,B-CR-027,Mon,8,0.5
math,T067,B-CR-003,Tue,1,0.5
science,T045,B-LAB-01,Tue,1,0.5
arabic,T050,B-CR-004,Tue,1,0.5
math,T367,B-CR-064,Tue,1,0.5
arabic,T400,B-CR-065,Tue,1,0.5
english,T076,B-CR-003,Tue,2,0.5
math,T367,B-CR-071,Tue,2,0.5
english,T057,B-CR-072,Tue,2,0.5
math,T071,B-CR-031,Tue,3,0.5
computer,T027,B-CR-010,Tue,4,0.5
islamic,T056,B-CR-003,Tue,5,0.5
geography,T087,B-CR-004,Tue,5,0.5
islamic,T407,B-CR-080,Tue,5,0.5
english,T076,B-CR-002,Tue,7,0.5
english,T161,B-CR-038,Tue,7,0.5
math,T071,B-CR-026,Tue,8,0.5
math,T067,B-CR-002,Wed,1,0.5
science,T045,B-LAB-02,Wed,1,0.5
arabic,T050,B-CR-003,Wed,1,0.5
math,T367,B-CR-064,Wed,1,0.5
arabic,T400,B-CR-065,Wed,1,0.5
math,T067,B-CR-002,Wed,2,0.5
english,T076,B-CR-003,Wed,2,0.5
math,T367,B-CR-072,Wed,2,0.5
english,T057,B-CR-073,Wed,2,0.5
math,T071,B-CR-029,Wed,3,0.5
islamic,T056,B-CR-002,Wed,5,0.5
islamic,T407,B-CR-062,Wed,5,0.5
geography,T372,B-CR-063,Wed,5,0.5
computer,T023,B-CR-064,Wed,5,0.5
social,T286,B-CR-065,Wed,5,0.5
english,T076,B-CR-001,Wed,7,0.5
english,T057,B-CR-033,Wed,7,0.5
art,T027,B-CR-034,Wed,7,0.5
math,T071,B-CR-016,Wed,8,0.5
french,T011,B-CR-017,Wed,8,0.5
music,T037,B-CR-018,Wed,8,0.5
math,T067,B-CR-002,Thu,1,0.5
science,T045,B-LAB-02,Thu,1,0.5
math,T367,B-CR-045,Thu,1,0.5
math,T067,B-CR-002,Thu,2,0.5
english,T076,B-CR-003,Thu,2,0.5
english,T057,B-CR-056,Thu,2,0.5
math,T071,B-CR-027,Thu,3,0.5
pe,T005,B-PG-02,Thu,4,0.5
islamic,T407,B-CR-035,Thu,5,0.5
history,T333,B-CR-036,Thu,5,0.5
geography,T372,B-CR-037,Thu,5,0.5
english,T076,B-CR-002,Thu,7,0.5
english,T057,B-CR-026,Thu,7,0.5
math,T071,B-CR-018,Thu,8,0.5
