subject,teacher_id,room_id,day,slot,confidence
arabic,T121,A-CR-089,Sun,2,0.5
islamic,T125,A-CR-074,Sun,3,0.5
islamic,T452,A-CR-075,Sun,4,0.5
social,T090,A-CR-076,Sun,4,0.5
social,T469,A-CR-082,Sun,7,0.5
islamic,T452,A-CR-034,Sun,8,0.5
arabic,T121,A-CR-059,Mon,3,0.5
islamic,T125,A-CR-060,Mon,3,0.5
islamic,T452,A-CR-045,Mon,4,0.5
arabic,T121,A-CR-082,Tue,2,0.5
islamic,T125,A-CR-083,Tue,2,0.5
islamic,T125,A-CR-056,Tue,3,0.5
islamic,T452,A-CR-046,Tue,4,0.5
arabic,T121,A-CR-089,Wed,2,0.5
islamic,T125,A-CR-090,Wed,2,0.5
islamic,T452,A-CR-038,Wed,4,0.5
social,T122,A-CR-077,Thu,1,0.5
arabic,T121,A-CR-070,Thu,2,0.5
islamic,T125,A-CR-071,Thu,2,0.5
islamic,T452,A-CR-034,Thu,4,0.5
