subject,teacher_id,room_id,day,slot,confidence
math,T431,A-CR-035,Sun,1,0.5
arabic,T466,A-CR-036,Sun,1,0.5
arabic,T487,A-CR-064,Sun,1,0.5
arabic,T464,A-CR-072,Sun,1,0.5
math,T431,A-CR-018,Sun,2,0.5
history,T372,A-CR-064,Sun,5,0.5
geography,T397,A-CR-065,Sun,5,0.5
math,T431,A-CR-033,Mon,1,0.5
arabic,T487,A-CR-063,Mon,1,0.5
arabic,T464,A-CR-073,Mon,1,0.5
math,T431,A-CR-021,Mon,2,0.5
islamic,T085,A-CR-057,Mon,5,0.5
social,T229,A-CR-058,Mon,5,0.5
history,T372,A-CR-059,Mon,5,0.5
geography,T397,A-CR-060,Mon,5,0.5
social,T324,A-CR-070,Mon,6,0.5
history,T187,A-CR-071,Mon,6,0.5
geography,T180,A-CR-072,Mon,6,0.5
math,T431,A-CR-033,Tue,1,0.5
arabic,T466,A-CR-034,Tue,1,0.5
arabic,T487,A-CR-058,Tue,1,0.5
islamic,T085,A-CR-037,Tue,5,0.5
math,T431,A-CR-014,Tue,6,0.5
arabic,T418,A-CR-017,Tue,7,0.5
math,T431,A-CR-025,Wed,2,0.5
islamic,T085,A-CR-035,Wed,5,0.5
math,T431,A-CR-014,Wed,6,0.5
arabic,T466,A-CR-015,Wed,6,0.5
arabic,T487,A-CR-053,Wed,6,0.5
arabic,T418,A-CR-012,Wed,7,0.5
arabic,T466,A-CR-027,Thu,1,0.5
arabic,T487,A-CR-046,Thu,1,0.5
pe,T003,A-PG-02,Thu,3,0.5
islamic,T085,A-CR-019,Thu,5,0.5
islamic,T189,A-CR-084,Thu,5,0.5
islamic,T042,A-CR-085,Thu,5,0.5
history,T187,A-CR-086,Thu,5,0.5
geography,T180,A-CR-087,Thu,5,0.5
math,T431,A-CR-009,Thu,6,0.5
arabic,T466,A-CR-010,Thu,6,0.5
arabic,T418,A-CR-012,Thu,7,0.5
