subject,teacher_id,room_id,day,slot,confidence
arabic,T381,A-CR-061,Sun,2,0.5
islamic,T448,A-CR-062,Sun,2,0.5
english,T044,A-CR-045,Sun,3,0.5
social,T439,A-CR-050,Sun,4,0.5
islamic,T053,A-CR-058,Sun,7,0.5
islamic,T448,A-CR-088,Mon,1,0.5
social,T491,A-CR-089,Mon,1,0.5
arabic,T381,A-CR-055,Mon,2,0.5
islamic,T448,A-CR-056,Mon,2,0.5
english,T462,A-CR-040,Mon,3,0.5
english,T044,A-CR-041,Mon,3,0.5
islamic,T053,A-CR-062,Mon,7,0.5
islamic,T443,A-CR-042,Mon,8,0.5
islamic,T086,A-CR-043,Mon,8,0.5
islamic,T182,A-CR-044,Mon,8,0.5
islamic,T448,A-CR-077,Tue,1,0.5
arabic,T381,A-CR-055,Tue,2,0.5
english,T403,A-CR-037,Tue,3,0.5
english,T462,A-CR-038,Tue,3,0.5
english,T044,A-CR-039,Tue,3,0.5
islamic,T053,A-CR-031,Tue,4,0.5
arabic,T119,A-CR-047,Tue,7,0.5
islamic,T053,A-CR-048,Tue,7,0.5
islamic,T448,A-CR-080,Wed,1,0.5
arabic,T381,A-CR-062,Wed,2,0.5
english,T403,A-CR-031,Wed,3,0.5
english,T462,A-CR-032,Wed,3,0.5
islamic,T443,A-CR-090,Wed,4,0.5
arabic,T069,A-CR-045,Wed,7,0.5
arabic,T119,A-CR-046,Wed,7,0.5
islamic,T053,A-CR-047,Wed,7,0.5
islamic,T448,A-CR-072,Thu,1,0.5
arabic,T381,A-CR-046,Thu,2,0.5
english,T403,A-CR-028,Thu,3,0.5
islamic,T053,A-CR-019,Thu,4,0.5
islamic,T443,A-CR-080,Thu,4,0.5
islamic,T086,A-CR-081,Thu,4,0.5
social,T369,A-CR-082,Thu,4,0.5
arabic,T069,A-CR-050,Thu,7,0.5
arabic,T098,A-CR-051,Thu,7,0.5
